league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
NFL,Christian Watson + Allen Lazard,WR,GB,MIA,0.5,Rush+Rec TDs,,False,2022-12-25T13:00:00-05:00,2022-12-24T01:42:54-05:00
NFL,Jaylen Waddle + Romeo Doubs,WR,GB/MIA,GM/MIA,0.5,Rush+Rec TDs,,False,2022-12-25T13:00:00-05:00,2022-12-24T02:04:05-05:00
NFL,Latavius Murray + Van Jefferson,RB/WR,DEN/LA,DEN/LA,0.5,Rush+Rec TDs,,False,2022-12-25T16:25:00-05:00,2022-12-24T02:24:23-05:00
NFL,Latavius Murray + Tyler Higbee,RB/TE,DEN/LA,DEN/LA,0.5,Rush+Rec TDs,,False,2022-12-25T16:25:00-05:00,2022-12-24T06:48:04-05:00
NFL,Latavius Murray + Tutu Atwell,RB/WR,DEN/LA,DEN/LA,0.5,Rush+Rec TDs,,False,2022-12-25T16:25:00-05:00,2022-12-24T02:13:08-05:00
NFL,Cam Akers + Jerry Jeudy,RB/WR,DEN/LA,DEN/LA,0.5,Rush+Rec TDs,,False,2022-12-25T16:25:00-05:00,2022-12-24T02:23:15-05:00
NFL,Rachaad White + Marquise Brown,RB/WR,ARI/TB,ARI/TB,0.5,Rush+Rec TDs,,False,2022-12-25T20:20:00-05:00,2022-12-24T02:13:08-05:00
NFL,Leonard Fournette + DeAndre Hopkins,RB/WR,ARI/TB,ARI/TB,0.5,Rush+Rec TDs,,False,2022-12-25T20:20:00-05:00,2022-12-24T01:39:37-05:00
NFL,Chris Godwin + Marquise Brown,WR,ARI/TB,ARI/TB,0.5,Rush+Rec TDs,,False,2022-12-25T20:20:00-05:00,2022-12-24T01:43:31-05:00
NFL,Mike Evans + Marquise Brown,WR,ARI/TB,ARI/TB,0.5,Rush+Rec TDs,,False,2022-12-25T20:20:00-05:00,2022-12-24T02:36:45-05:00
SOCCER,Harry Kane,F,Tottenham,Brentford,3.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:54:02-05:00
SOCCER,Ivan Toney,F,Brentford,Tottenham,2.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:54:02-05:00
SOCCER,Ben Davies,D,Tottenham,Brentford,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:58:50-05:00
SOCCER,Bryan Mbeumo,F,Brentford,Tottenham,2,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:47:08-05:00
SOCCER,Dejan Kulusekvski,MF,Tottenham,Brentford,2,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:06:37-05:00
SOCCER,Mathias Jensen,M,Brentford,Tottenham,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:00:25-05:00
SOCCER,Emerson Royal,RM,Tottenham,Brentford,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:31:36-05:00
SOCCER,Ben Mee,CB,Brentford,Tottenham,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:58:50-05:00
SOCCER,Heung-Min Son,F,Tottenham,Brentford,2.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:54:02-05:00
SOCCER,Yoane Wissa,M,Brentford,Tottenham,2,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:51:12-05:00
SOCCER,Eric Dier,CB,Tottenham,Brentford,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:03:55-05:00
SOCCER,Christian Nørgaard,M,Brentford,Tottenham,0.5,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:58:50-05:00
