league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Amadou Onana,M,Everton,Wolverhampton,1.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:26:20-05:00
SOCCER,James Tarkowski,D,Everton,Wolverhampton,4.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:52:21-05:00
SOCCER,Nathan Patterson,D,Everton,Wolverhampton,2,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:35:00-05:00
SOCCER,Vitaliy Mykolenko,D,Everton,Wolverhampton,2.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Jose Sa,GK,Wolverhampton,Everton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:34:11-05:00
SOCCER,João Moutinho,M,Wolverhampton,Everton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:35:46-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,2.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:36:10-05:00
SOCCER,Matheus Nunes,M,Wolverhampton,Everton,1,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Max Kilman,M,Wolverhampton,Everton,3.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:25:20-05:00
SOCCER,Nathan Collins,D,Wolverhampton,Everton,3.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:16:13-05:00
